num_users,k_clusters,total_checkins,global_acc_1_spec,global_hit_k_spec,global_acc_1_lvl1,global_hit_k_lvl1,cluster_acc_1_spec,cluster_hit_k_spec,cluster_acc_1_lvl1,cluster_hit_k_lvl1,fsq_cat_hit_rate_at_3,fsq_poi_hit_rate_at_3,fsq_poi_hit_rate_at_9
20,2,1640,12.573789846517121,20.907123179850455,47.5366489571035,82.82049390003935,12.588547815820542,20.903433687524597,47.50836284927194,82.83402203856748,0.0,0.0,0.0
50,2,4077,12.498770169224715,23.012593467138924,48.34710743801653,83.97407516725698,12.597156631247541,23.056867375049194,48.2745474222747,84.00974025974025,0.0,0.0,0.0
100,2,7508,14.103699330972058,25.039354584809132,49.034582841401026,84.45247933884298,14.252508854781581,25.16602715466352,48.96817197953561,84.50167256985439,0.0,0.0,0.0
150,2,11583,15.193329397874853,26.472107438016526,49.03212317985045,84.55824478551752,15.268349075167258,26.53236914600551,49.0284336875246,84.7513282172373,3.7037037037037037,0.0,0.0
200,2,15760,15.48848878394333,26.868112947658403,49.118211334120424,84.69844549390002,15.516774891774892,26.94436245572609,49.12559031877214,84.93703266430539,3.7037037037037037,0.0,0.0
300,2,23348,15.526613537977175,27.21861471861472,49.118211334120424,84.63203463203463,15.568427784336876,27.350206611570247,49.07639708776072,84.95670995670996,16.666666666666668,0.0,0.0
400,2,31093,15.567197953561589,27.59863242817788,49.118211334120424,84.74886855568673,15.698789846517117,27.744982290436838,49.10222353404171,85.04525777253049,0.0,0.0,0.0
600,2,46526,15.770120031483666,27.77941755214482,49.118211334120424,84.70582447855175,15.858667847304211,28.129919323101138,49.12682014954742,85.42035615899253,0.0,0.0,0.0
800,2,61748,15.802095631641086,27.81754230617867,49.118211334120424,84.65048209366391,16.060360094451003,28.22830578512397,49.10222353404171,85.59376229830775,0.0,0.0,0.0
1000,2,76956,15.819313262495081,27.850747737111377,49.118211334120424,84.70951397087761,16.177194018103112,28.565279417552144,48.966942148760324,85.74380165289256,0.0,0.0,0.0
