num_users,k_clusters,total_checkins,global_acc_1_spec,global_hit_k_spec,global_acc_1_lvl1,global_hit_k_lvl1,cluster_acc_1_spec,cluster_hit_k_spec,cluster_acc_1_lvl1,cluster_hit_k_lvl1,fsq_cat_hit_rate_at_3,fsq_poi_hit_rate_at_3,fsq_poi_hit_rate_at_9
20,2,3033,18.12191103789127,24.546952224052717,46.12850082372323,87.64415156507414,18.12191103789127,26.68863261943987,52.05930807248764,87.3146622734761,0.0,100.0,100.0
50,5,6789,17.15758468335788,28.12960235640648,53.46097201767305,87.11340206185567,20.471281296023562,32.1060382916053,56.553755522827686,89.76435935198822,0.0,0.0,0.0
100,10,12279,18.729641693811075,31.636807817589574,51.26221498371335,84.69055374592834,23.04560260586319,34.609120521172635,58.10260586319218,88.07003257328991,29.577464788732392,4.225352112676056,12.676056338028168
150,15,18650,17.721179624664877,28.820375335120644,49.624664879356565,85.63002680965147,21.179624664879356,33.056300268096514,57.5603217158177,86.91689008042896,0.0,0.0,0.0
200,20,24876,17.142282958199356,29.521704180064308,49.979903536977496,84.44533762057877,20.940514469453376,32.19453376205787,56.18971061093247,88.30385852090032,0.0,0.0,0.0
300,30,37547,17.163781624500665,28.575233022636485,49.78695073235686,85.93874833555259,21.14513981358189,32.237017310252995,56.724367509986685,88.78828229027962,0.0,0.0,0.0
400,40,50869,17.357971299390602,30.656575584824065,50.84529192058187,85.68901120503244,21.279732651857678,32.936897975230984,57.75506192254767,90.13170827599765,0.0,0.0,0.0
600,60,75312,17.519750381730066,30.29277036446923,50.594171147845714,84.50507866958773,22.220009294297284,34.49512049392551,58.666932218017664,89.57710947354445,0.0,0.0,0.0
1083,108,137732,16.55352669982212,28.75086216284895,49.94010237049407,84.65894652775256,20.70279885286964,32.99088829999637,56.35459396667514,89.84644425890296,0.0,0.0,0.0
