num_users,k_clusters,total_checkins,global_acc_1_spec,global_hit_k_spec,global_acc_1_lvl1,global_hit_k_lvl1,cluster_acc_1_spec,cluster_hit_k_spec,cluster_acc_1_lvl1,cluster_hit_k_lvl1,fsq_cat_hit_rate_at_3,fsq_poi_hit_rate_at_3,fsq_poi_hit_rate_at_9
20,2,3033,18.12191103789127,24.546952224052717,46.12850082372323,87.64415156507414,18.12191103789127,26.68863261943987,52.05930807248764,87.3146622734761,0.0,100.0,100.0
50,2,6789,17.15758468335788,28.12960235640648,53.46097201767305,87.11340206185567,17.599410898379972,30.486008836524302,53.38733431516937,88.51251840942562,0.0,0.0,0.0
100,2,12279,18.729641693811075,31.636807817589574,51.26221498371335,84.69055374592834,20.765472312703583,34.039087947882734,54.72312703583062,86.7671009771987,0.0,0.0,0.0
150,2,18650,17.721179624664877,28.820375335120644,49.624664879356565,85.63002680965147,18.65951742627346,31.474530831099194,52.14477211796247,87.77479892761394,0.0,0.0,0.0
200,2,24876,17.142282958199356,29.521704180064308,49.979903536977496,84.44533762057877,18.408360128617364,31.973472668810288,52.02974276527331,87.86173633440515,0.0,0.0,0.0
300,2,37547,17.163781624500665,28.575233022636485,49.78695073235686,85.93874833555259,18.162450066577897,31.398135818908123,53.035952063914785,87.73635153129162,0.0,0.0,0.0
400,2,50869,17.357971299390602,30.656575584824065,50.84529192058187,85.68901120503244,18.812659720857088,32.504423039119324,53.3320228032239,87.82189895812856,0.0,0.0,0.0
600,2,75312,17.519750381730066,30.29277036446923,50.594171147845714,84.50507866958773,18.14379605656244,33.45947022505477,52.725220739560505,88.10329947553608,0.0,0.0,0.0
800,2,100833,17.136906827986316,29.622650865274952,49.86363861754351,84.40025784697774,17.682352357812267,32.87053106560222,51.812366737739865,87.82664749342986,0.0,0.0,0.0
1000,2,126477,16.555977229601517,29.202245414294747,50.20556609740671,84.51929158760278,17.346616065781152,31.787634408602152,51.941018342820996,87.61068943706515,0.0,0.0,0.0
1083,2,137732,16.55352669982212,28.75086216284895,49.94010237049407,84.65894652775256,17.069009329509566,31.193959414818313,51.34134388499655,87.64293752495735,0.0,0.0,0.0
20,5,3033,18.12191103789127,24.546952224052717,46.12850082372323,87.64415156507414,17.627677100494235,30.807248764415156,52.883031301482696,89.62108731466228,0.0,100.0,100.0
50,5,6789,17.15758468335788,28.12960235640648,53.46097201767305,87.11340206185567,20.471281296023562,32.1060382916053,56.553755522827686,89.76435935198822,0.0,0.0,0.0
100,5,12279,18.729641693811075,31.636807817589574,51.26221498371335,84.69055374592834,24.429967426710096,35.13843648208469,57.57328990228013,89.08794788273615,0.0,0.0,0.0
150,5,18650,17.721179624664877,28.820375335120644,49.624664879356565,85.63002680965147,21.58176943699732,31.87667560321716,56.13941018766756,89.11528150134048,0.0,0.0,0.0
200,5,24876,17.142282958199356,29.521704180064308,49.979903536977496,84.44533762057877,22.528135048231512,32.57636655948553,56.953376205787784,89.73070739549838,0.0,0.0,0.0
300,5,37547,17.163781624500665,28.575233022636485,49.78695073235686,85.93874833555259,21.584553928095872,32.050599201065246,57.11051930758988,90.17310252996006,0.0,0.0,0.0
400,5,50869,17.357971299390602,30.656575584824065,50.84529192058187,85.68901120503244,21.309219579319834,32.67151562807156,56.36917633182622,90.03341851779044,0.0,0.0,0.0
600,5,75312,17.519750381730066,30.29277036446923,50.594171147845714,84.50507866958773,21.99429064595366,34.68764522339507,56.48277235610436,89.92896501360951,0.0,0.0,0.0
